E_norm,J_crit_norm,J_norm,Lprime,P_left,P_right,acc_max,energy,f_armature,fitness,genom_0,genom_1,genom_2,genom_3,genom_4,id,j,mass,velocity,x1,x2,x3,x4,x5,x6,iteration_num
0.441957962,0.776923077,0.597451732,3.81E-07,93765226.4,112774949.2,489405.4216,465622.344,190309.9607,0.356791634,0.38,0.41,0.37,0.31,0.18,0,3106749009,0.088859527,1761.859518,4.18,4.51,11.31,17.76,14.88,8.64,0
0.149220989,0.776923077,0.521205948,3.74E-07,94354862.04,135603029.8,419847.6203,342672.8152,186802.5667,-0.088132543,0.87,0.42,0.41,0.33,0.25,1,2710270931,0.14492944,1511.451433,9.57,4.62,5.81,19.68,15.84,12,0
0.274213792,0.776923077,0.573022769,3.83E-07,96216774.51,104050020.2,450862.11,395169.7926,191743.3862,0.247213657,0.34,0.37,0.11,0.48,0.37,2,2979718398,0.125281659,1623.103596,3.74,4.07,12.19,5.28,23.04,17.76,0
0.488625919,0.776923077,0.692557208,3.86E-07,107280166.9,113922608.1,499600.09,485222.8858,193010.4683,0.392168448,0.41,0.44,0.24,0.22,0.24,3,3601297482,0.086329931,1798.560324,4.51,4.84,10.65,11.52,10.56,11.52,0
0.430850065,0.776923077,0.766127024,3.85E-07,115657639,125734075.8,486947.4432,460957.0274,192508.0257,0.25146074,0.31,0.94,0.19,0.24,0.23,4,3983860527,0.095336352,1753.010795,3.41,10.34,6.25,9.12,11.52,11.04,0
0.771257497,0.776923077,1.132276319,3.92E-07,134791183.9,128702169.8,557371.1761,603928.1488,196132.1638,0.207160865,0.48,0.51,0.13,0.12,0.14,5,5887836857,0.051887884,2006.536234,5.28,5.61,9.11,6.24,5.76,6.72,0
0.252761736,0.776923077,0.543467892,3.82E-07,98222741.28,112720469.2,445692.6506,386159.9291,191140.9398,0.167958608,0.51,0.38,0.12,0.47,0.34,6,2826033040,0.128862669,1604.493542,5.61,4.18,10.21,5.76,22.56,16.32,0
0.514112723,0.776923077,0.54297119,3.80E-07,91619971.74,120213891.3,505080.8432,495927.3435,190235.8776,0.379353447,0.46,0.28,0.48,0.25,0.12,7,2823450188,0.076644413,1818.291036,5.06,3.08,11.86,23.04,12,5.76,0
0.260616798,0.776923077,0.529305281,3.79E-07,97527432.43,124393140.2,447592.4711,389459.0553,189596.0591,0.097995864,0.49,0.61,0.24,0.4,0.26,8,2752387461,0.123590814,1611.332896,5.39,6.71,7.9,11.52,19.2,12.48,0
0.239488464,0.776923077,0.62649165,3.82E-07,101018826.1,112532219,442463.8478,380585.1549,191215.648,0.155430924,0.45,0.61,0.27,0.27,0.39,9,3257756581,0.132161066,1592.869852,4.95,6.71,8.34,12.96,12.96,18.72,0
0.207111176,0.776923077,0.432360345,3.73E-07,89711843.95,127098787.3,434487.242,366986.6938,186698.8404,0.026452593,0.39,0.54,0.13,0.68,0.21,10,2248273793,0.129699246,1564.154071,4.29,5.94,9.77,6.24,32.64,10.08,0
0.324922865,0.776923077,0.81793941,3.89E-07,115205143.6,107747344.2,462852.359,416467.6034,194269.0763,0.224654999,0.41,0.58,0.15,0.2,0.43,11,4253284931,0.119721478,1666.268493,4.51,6.38,9.11,7.2,9.6,20.64,0
