E_norm,J_crit_norm,J_norm,Lprime,acc_max,energy,f_armature,fitness,genom_0,genom_1,genom_2,genom_3,genom_4,id,j,mass,velocity,x1,x2,x3,x4,x5,x6,iteration_num
0.501505208,0.776923077,0.744588617,3.90E-07,502377.1615,490632.1872,194769.6021,0.501505208,0.36,0.48,0.3,0.12,0.29,0,3871860810,0.087695972,1808.557781,3.96,5.28,10.76,14.4,5.76,13.92,0
0.073452673,0.776923077,0.612230894,3.81E-07,399877.8895,310850.1227,190535.5277,0.073452673,0.71,0.87,0.3,0.16,0.57,1,3183600647,0.176484279,1439.560402,7.81,9.57,2.62,14.4,7.68,27.36,0
0.305475339,0.776923077,0.736190076,3.87E-07,458291.0432,408299.6425,193569.0944,0.305475339,0.5,0.91,0.12,0.21,0.39,2,3828188397,0.122371541,1649.847756,5.5,10.01,4.49,5.76,10.08,18.72,0
0.5093358,0.776923077,0.75812699,3.88E-07,504058.1385,493921.0359,193812.2997,0.5093358,0.69,0.83,0.11,0.19,0.2,3,3942260349,0.08450386,1814.609299,7.59,9.13,3.28,5.28,9.12,9.6,0
0.286887066,0.776923077,0.442106185,3.78E-07,453888.4172,400492.5676,188835.1333,0.286887066,0.51,0.69,0.47,0.21,0.23,4,2298952163,0.11603867,1633.998302,5.61,7.59,6.8,22.56,10.08,11.04,0
0.744531653,0.776923077,0.620335341,3.88E-07,552167.1177,592703.2943,194099.8668,0.744531653,0.43,0.2,0.27,0.18,0.11,5,3225743774,0.05152377,1987.801624,4.73,2.2,13.07,12.96,8.64,5.28,0
0.394100756,0.776923077,0.570359892,3.84E-07,478725.5444,445522.3174,192181.0163,0.394100756,0.39,0.57,0.46,0.13,0.28,6,2965871438,0.101442995,1723.41196,4.29,6.27,9.44,22.08,6.24,13.44,0
0.366171238,0.776923077,0.363051999,3.70E-07,472381.1932,433791.9199,185166.6565,0.366171238,0.22,0.78,0.64,0.23,0.13,7,1887870395,0.091985666,1700.572296,2.42,8.58,9,30.72,11.04,6.24,0
0.544227461,0.776923077,0.486063419,3.82E-07,511481.1128,508575.5334,191130.6979,0.544227461,0.3,0.49,0.53,0.14,0.16,8,2527529777,0.073680852,1841.332006,3.3,5.39,11.31,25.44,6.72,7.68,0
0.27066709,0.776923077,0.473046699,3.80E-07,450011.5326,393680.1776,190211.045,0.27066709,0.62,0.48,0.24,0.35,0.28,9,2459842834,0.122680379,1620.041517,6.82,5.28,7.9,11.52,16.8,13.44,0
0.269521201,0.776923077,0.342588507,3.72E-07,449736.3793,393198.9043,185795.9492,0.269521201,0.49,0.36,0.3,0.56,0.16,10,1781460237,0.113121904,1619.050965,5.39,3.96,10.65,14.4,26.88,7.68,0
0.550980883,0.776923077,0.694100743,3.90E-07,512905.4508,511411.9708,195147.0614,0.550980883,0.28,0.23,0.35,0.14,0.29,11,3609323862,0.080473752,1846.459623,3.08,2.53,14.39,16.8,6.72,13.92,0
0.19886899,0.776923077,0.419190819,3.74E-07,432433.1675,363524.9759,186995.7089,0.19886899,0.78,0.77,0.62,0.11,0.19,12,2179792258,0.132426842,1556.759403,8.58,8.47,2.95,29.76,5.28,9.12,0
0.110039742,0.776923077,0.366431309,3.70E-07,409642.454,326216.6915,185100.5938,0.110039742,0.96,0.55,0.34,0.46,0.15,13,1905442809,0.151858913,1474.712834,10.56,6.05,3.39,16.32,22.08,7.2,0
0.124296185,0.776923077,0.653752913,3.83E-07,413384.8519,332204.3976,191663.9351,0.124296185,0.61,0.85,0.21,0.21,0.54,14,3399515150,0.163645279,1488.185467,6.71,9.35,3.94,10.08,10.08,25.92,0
0.278790956,0.776923077,0.529404313,3.82E-07,451957.4491,397092.2016,190854.9344,0.278790956,0.91,0.19,0.3,0.27,0.28,15,2752902426,0.122285184,1627.046817,10.01,2.09,7.9,14.4,12.96,13.44,0
0.568949961,0.776923077,0.532205198,3.86E-07,516676.1168,518958.9836,192980.6255,0.568949961,0.26,0.63,0.13,0.34,0.14,16,2767467028,0.073504056,1860.03402,2.86,6.93,10.21,6.24,16.32,6.72,0
0.224936209,0.776923077,0.395479014,3.72E-07,438896.6291,374473.2079,185750.0611,0.224936209,0.32,0.88,0.4,0.39,0.19,17,2056490873,0.123220523,1580.027865,3.52,9.68,6.8,19.2,18.72,9.12,0
