E_norm,J_crit_norm,J_norm,Lprime,P_left,P_right,acc_max,energy,f_armature,fitness,genom_0,genom_1,genom_2,genom_3,genom_4,id,j,mass,velocity,x1,x2,x3,x4,x5,x6,iteration_num
0.48375599,0.776923077,0.985371147,3.90E-07,114389131.4,123273685,498545.9907,483177.5157,194880.8897,-20.68575592,0.4,0.58,0.24,0.11,0.31,0,5123929963,0.09089852,1794.765566,4.4,6.38,9.22,11.52,5.28,14.88,0
0.088001464,0.776923077,0.514409592,3.76E-07,98657226.37,137594888.6,403789.0336,316960.6147,188192.3248,-0.413263718,0.96,0.33,0.21,0.47,0.36,1,2674929879,0.166065963,1453.640521,10.56,3.63,5.81,10.08,22.56,17.28,0
0.250407979,0.776923077,0.514209812,3.75E-07,95071888.64,130737861.2,445121.7936,385171.3513,187741.3027,-0.15943017,0.34,0.92,0.43,0.27,0.24,2,2673891022,0.121775131,1602.438457,3.74,10.12,6.14,20.64,12.96,11.52,0
0.123977992,0.776923077,0.79282341,3.84E-07,108724189.5,121360339.7,413301.6943,332070.7568,191863.5747,-1.759584055,0.86,0.43,0.32,0.12,0.56,3,4122681733,0.164221602,1487.8861,9.46,4.73,5.81,15.36,5.76,26.88,0
0.212122309,0.776923077,0.632445381,3.81E-07,103548388.1,122277516.7,435731.3574,369091.3699,190683.46,-0.088459635,0.38,0.83,0.22,0.33,0.37,4,3288715983,0.137617024,1568.632887,4.18,9.13,6.69,10.56,15.84,17.76,0
0.595885395,0.776923077,0.617500313,3.82E-07,98768437,128530161,522277.3149,530271.866,191052.8032,0.215483248,0.31,0.52,0.43,0.19,0.11,5,3211001627,0.065807202,1880.198334,3.41,5.72,10.87,20.64,9.12,5.28,0
0.192997031,0.776923077,0.499135824,3.76E-07,95415735.37,135279975.7,430963.8166,361058.753,187783.1775,-0.277402644,0.81,0.39,0.31,0.41,0.23,6,2595506285,0.135728407,1551.46974,8.91,4.29,6.8,14.88,19.68,11.04,0
0.28101074,0.776923077,0.640481325,3.82E-07,106478073.9,128810481.8,452487.7002,398024.511,191030.912,-0.109607091,0.53,0.72,0.19,0.34,0.28,7,3330502890,0.122179237,1628.955721,5.83,7.92,6.25,9.12,16.32,13.44,0
0.056317697,0.776923077,0.985057365,3.86E-07,123204254.1,123289543.1,395221.8688,303653.4329,192973.8398,-21.09084257,0.99,0.5,0.16,0.14,0.73,8,5122298296,0.18826711,1422.798728,10.89,5.5,3.61,7.68,6.72,35.04,0
0.146776643,0.776923077,0.583275678,3.79E-07,109461269,158087606.6,419218.2308,341646.1902,189681.9465,-0.637186046,0.98,0.51,0.12,0.44,0.32,9,3033033528,0.152465882,1509.185631,10.78,5.61,3.61,5.76,21.12,15.36,0
0.379314805,0.776923077,0.666740724,3.82E-07,100518605.4,113569920.8,475377.3777,439312.218,191166.1534,0.197863921,0.29,0.7,0.33,0.23,0.27,10,3467051765,0.102135571,1711.35856,3.19,7.7,9.11,15.84,11.04,12.96,0
0.221115308,0.776923077,0.545505973,3.75E-07,94756569.29,143423518.1,437955.189,372868.4293,187358.6823,-0.357864934,0.66,0.76,0.53,0.18,0.21,11,2836631062,0.127803316,1576.63868,7.26,8.36,4.38,25.44,8.64,10.08,0
0.34199779,0.776923077,0.59279062,3.81E-07,99772128.03,122836783.4,466820.4507,423639.0717,190470.0179,0.037507344,0.51,0.65,0.39,0.2,0.24,12,3082511222,0.108015582,1680.553622,5.61,7.15,7.24,18.72,9.6,11.52,0
0.525106972,0.776923077,0.812238868,3.90E-07,109013235.1,123773565.8,507426.8015,500544.9281,194913.9297,-3.332466252,0.47,0.37,0.29,0.13,0.26,13,4223642114,0.08412226,1826.736486,5.17,4.07,10.76,13.92,6.24,12.48,0
