E_norm,J_crit_norm,J_norm,Lprime,acc_max,energy,f_armature,fitness,genom_0,genom_1,genom_2,genom_3,genom_4,id,j,mass,velocity,x1,x2,x3,x4,x5,x6,iteration_num,,,1.598013422,,1505387091
0.139535913,0.776923077,0.485227575,3.71E-07,417348.2594,338605.0834,185442.256,0.139535913,0.95,0.33,0.15,0.68,0.13,0,2523183391,0.144334562,1502.453734,10.45,3.63,5.92,7.2,32.64,6.24,0,,,1.535800822,,1376327532
0.348192435,0.776923077,0.539401399,3.75E-07,468251.7297,426240.8226,187630.994,0.348192435,0.52,0.43,0.53,0.27,0.15,1,2804887277,0.100705394,1685.706227,5.72,4.73,9.55,25.44,12.96,7.2,0,,,1.282186669,,1252453538
0.140252096,0.776923077,0.548536162,3.79E-07,417533.5923,338905.8805,189341.7288,0.140252096,0.96,0.29,0.2,0.42,0.35,2,2852388045,0.153476636,1503.120932,10.56,3.19,6.25,9.6,20.16,16.8,0,,,-0.158980563,,-39304760.77
0.505579763,0.776923077,0.909835142,3.87E-07,503252.5386,492343.5006,193600.6827,0,0.63,0.6,0.17,0.16,0.23,3,4731142740,0.08469887,1811.709139,6.93,6.6,6.47,8.16,7.68,11.04,0,,,-0.474828656,,-143739640.6
0.115465041,0.776923077,0.894981816,3.86E-07,411070.6418,328495.3171,193057.1135,0,0.78,0.39,0.17,0.19,0.64,4,4653905445,0.169644615,1479.854311,8.58,4.29,7.13,8.16,9.12,30.72,0,,,1.106704312,,949367216.2
0.568411141,0.776923077,0.669264443,3.84E-07,516563.4502,518732.6794,192092.3863,0.568411141,0.36,0.57,0.31,0.21,0.14,5,3480175102,0.071866005,1859.628421,3.96,6.27,9.77,14.88,10.08,6.72,0,,,-0.483937688,,-311743840
0.538404446,0.776923077,0.981391504,3.89E-07,510249.8115,506129.8675,194404.483,0,0.61,0.28,0.21,0.14,0.25,6,5103235820,0.080998638,1836.899321,6.71,3.08,10.21,10.08,6.72,12,0,,,2.022719688,,1771017167
0.33462785,0.776923077,0.439304709,3.73E-07,465111.8814,420543.6969,186739.7097,0.33462785,0.63,0.38,0.48,0.32,0.11,7,2284384489,0.101494172,1674.402773,6.93,4.18,8.89,23.04,15.36,5.28,0,,,1.413211224,,1221798857
0.496763482,0.776923077,0.593633528,3.81E-07,501356.5252,488640.6622,190586.4592,0.496763482,0.5,0.3,0.44,0.25,0.13,8,3086894347,0.080141575,1804.883491,5.5,3.3,11.2,21.12,12,6.24,0,,,0.499371541,,531770139.3
0.38875551,0.776923077,0.754799871,3.83E-07,477517.8632,443277.314,191532.9234,0.38875551,0.3,0.96,0.31,0.16,0.27,9,3924959327,0.101101065,1719.064308,3.3,10.56,6.14,14.88,7.68,12.96,0,,,0.85357718,,874834994.6
0.23164934,0.776923077,0.652537509,3.81E-07,440545.8192,377292.7229,190568.1685,0.23164934,0.58,0.87,0.37,0.15,0.35,10,3393195047,0.132572868,1585.964949,6.38,9.57,4.05,17.76,7.2,16.8,0,,,2.001989943,,1786486059
0.250278672,0.776923077,0.426580823,3.72E-07,445090.4116,385117.0424,186106.3634,0.250278672,0.68,0.38,0.56,0.27,0.17,11,2218220278,0.118131594,1602.325482,7.48,4.18,8.34,26.88,12.96,8.16,0,,,1.207327007,,1139851318
0.278974443,0.776923077,0.591252564,3.82E-07,452001.3031,397169.266,190809.2065,0.278974443,0.6,0.4,0.25,0.33,0.31,12,3074513333,0.122143045,1627.204691,6.6,4.4,9,12,15.84,14.88,0,,,1.179517191,,1094090584
0.340850444,0.776923077,0.609189727,3.80E-07,466554.8733,423157.1863,189882.5054,0.340850444,0.91,0.28,0.35,0.25,0.17,13,3167786583,0.10698858,1679.597544,10.01,3.08,6.91,16.8,12,8.16,0,,,1.360713394,,1264105090
0.27490954,0.776923077,0.559762306,3.75E-07,451028.7776,395462.0068,187572.2845,0.27490954,0.59,0.88,0.62,0.12,0.15,14,2910763991,0.115876533,1623.703599,6.49,9.68,3.83,29.76,5.76,7.2,0,,,1.507822551,,1343132825
0.376645304,0.776923077,0.550687628,3.80E-07,474770.3732,438191.0278,189819.8108,0.376645304,0.48,0.32,0.25,0.46,0.18,15,2863575663,0.099813934,1709.173344,5.28,3.52,11.2,12,22.08,8.64,0,,,1.303924168,,1259819474
0.166631212,0.776923077,0.549464486,3.76E-07,424303.538,349985.1092,188026.2521,0.166631212,0.46,0.91,0.16,0.49,0.26,16,2857215326,0.143140901,1527.492737,5.06,10.01,4.93,7.68,23.52,12.48,0,,,1.532121404,,1380249568
0.330125145,0.776923077,0.536523825,3.77E-07,464064.9262,418652.5611,188592.3787,0.330125145,0.61,0.47,0.68,0.11,0.17,17,2789923891,0.106392227,1670.633734,6.71,5.17,8.12,32.64,5.28,8.16,0,,,0.852930987,,871824937.2
0.238210138,0.776923077,0.653978907,3.84E-07,442151.6426,380048.258,192010.8668,0.238210138,0.8,0.39,0.18,0.29,0.38,18,3400690317,0.134264737,1591.745913,8.8,4.29,6.91,8.64,13.92,18.24,0,,,1.43056082,,1374068312
0.132579854,0.776923077,0.517326884,3.74E-07,415543.8816,335683.5389,186781.821,0.132579854,0.78,0.68,0.3,0.43,0.22,19,2690099795,0.149487598,1495.957974,8.58,7.48,3.94,14.4,20.64,10.56,0,,,1.106704312,,949367216.2
0.568411141,0.776923077,0.669264443,3.84E-07,516563.4502,518732.6794,192092.3863,0.568411141,0.36,0.57,0.31,0.21,0.14,5,3480175102,0.071866005,1859.628421,3.96,6.27,9.77,14.88,10.08,6.72,1,,,1.413211224,,1221798857
0.496763482,0.776923077,0.593633528,3.81E-07,501356.5252,488640.6622,190586.4592,0.496763482,0.5,0.3,0.44,0.25,0.13,8,3086894347,0.080141575,1804.883491,5.5,3.3,11.2,21.12,12,6.24,1,,,1.617488433,,1466418713
0.283084299,0.776923077,0.51004225,3.73E-07,452982.4609,398895.4056,186657.9566,0.283084299,0.49,0.57,0.56,0.27,0.17,20,2652219701,0.112064423,1630.736859,5.39,6.27,8.34,26.88,12.96,8.16,1,,,1.489271453,,1320663478
0.396720221,0.776923077,0.558412831,3.79E-07,479316.2638,446622.4929,189613.2377,0.396720221,0.68,0.38,0.46,0.21,0.14,21,2903746719,0.095591078,1725.53855,7.48,4.18,8.34,22.08,10.08,6.72,1,,,0.382974351,,426088002.5
0.42181968,0.776923077,0.784692143,3.86E-07,484939.9998,457164.2658,193044.58,0,0.6,0.4,0.31,0.16,0.27,22,4080399142,0.098079309,1745.783999,6.6,4.4,9,14.88,7.68,12.96,1,,,1.020979987,,1005141391
0.241164734,0.776923077,0.620960026,3.79E-07,442872.9093,381289.1884,189718.235,0.241164734,0.3,0.94,0.25,0.33,0.31,23,3228992137,0.128380763,1594.342473,3.3,10.34,6.36,12,15.84,14.88,1,,,1.078349246,,946277115.6
0.516848109,0.776923077,0.664622849,3.83E-07,505665.5383,497076.2056,191696.0379,0.516848109,0.52,0.43,0.36,0.21,0.14,24,3456038817,0.079096504,1820.395938,5.72,4.73,9.55,17.28,10.08,6.72,1,,,0.932094716,,776714505.2
0.655161231,0.776923077,0.72153638,3.88E-07,534396.9511,555167.717,193756.8591,0.655161231,0.5,0.3,0.11,0.32,0.11,25,3751989175,0.062571041,1923.829024,5.5,3.3,11.2,5.28,15.36,5.28,1,,,1.541012959,,1373039738
0.367817443,0.776923077,0.542283974,3.75E-07,472757.4995,434483.3261,187670.717,0.367817443,0.3,0.96,0.44,0.25,0.13,26,2819876664,0.096970365,1701.926998,3.3,10.56,6.14,21.12,12,6.24,1,,,1.603052733,,1444703086
0.309839739,0.776923077,0.518280478,3.74E-07,459318.6324,410132.6902,186873.0686,0.309839739,0.52,0.43,0.56,0.27,0.17,27,2695058486,0.106848439,1653.547077,5.72,4.73,9.55,26.88,12.96,8.16,1,,,1.788693954,,1601251836
0.288692965,0.776923077,0.476922879,3.74E-07,454318.015,401251.0455,186963.8155,0.288692965,0.68,0.38,0.53,0.27,0.15,28,2479998972,0.111526308,1635.544854,7.48,4.18,8.34,25.44,12.96,7.2,1,,,1.179517191,,1094090584
0.340850444,0.776923077,0.609189727,3.80E-07,466554.8733,423157.1863,189882.5054,0.340850444,0.91,0.28,0.35,0.25,0.17,13,3167786583,0.10698858,1679.597544,10.01,3.08,6.91,16.8,12,8.16,1,,,1.532121404,,1380249568
0.330125145,0.776923077,0.536523825,3.77E-07,464064.9262,418652.5611,188592.3787,0.330125145,0.61,0.47,0.68,0.11,0.17,17,2789923891,0.106392227,1670.633734,6.71,5.17,8.12,32.64,5.28,8.16,1,,,1.532121404,,1380249568
0.330125145,0.776923077,0.536523825,3.77E-07,464064.9262,418652.5611,188592.3787,0.330125145,0.61,0.47,0.68,0.11,0.17,17,2789923891,0.106392227,1670.633734,6.71,5.17,8.12,32.64,5.28,8.16,1,,,0.233052756,,251381036.9
0.565950441,0.776923077,0.843502614,3.87E-07,516048.6075,517699.1853,193736.3562,0,0.6,0.4,0.35,0.11,0.17,29,4386213593,0.07542269,1857.774987,6.6,4.4,9,16.8,5.28,8.16,1,,,1.011408751,,988486783.3
0.264842677,0.776923077,0.627609862,3.82E-07,448611.2111,391233.9244,191015.7547,0.264842677,0.61,0.47,0.25,0.33,0.31,30,3263571283,0.125793538,1615.00036,6.71,5.17,8.12,12,15.84,14.88,1,,,0.640919258,,657059049.4
0.357043044,0.776923077,0.720147834,3.82E-07,470289.1144,429958.0785,191213.7845,0.357043044,0.52,0.79,0.31,0.16,0.27,31,3744768738,0.106587732,1693.040812,5.72,8.69,5.59,14.88,7.68,12.96,1,,,1.717705438,,1546650927
0.282930062,0.776923077,0.489968002,3.72E-07,452945.6777,398830.6258,186125.9192,0.282930062,0.3,0.96,0.53,0.27,0.15,32,2547833609,0.11092327,1630.60444,3.3,10.56,6.14,25.44,12.96,7.2,1,,,0.989932629,,907510690.8
0.432724769,0.776923077,0.665481505,3.81E-07,487363.1512,461744.4032,190594.6509,0.432724769,0.91,0.28,0.31,0.21,0.14,33,3460503826,0.091073167,1754.507344,10.01,3.08,6.91,14.88,10.08,6.72,1,,,1.027760444,,935856224.5
0.437768765,0.776923077,0.658924741,3.81E-07,488479.88,463862.8811,190352.5916,0.437768765,0.46,0.91,0.31,0.21,0.14,34,3426408654,0.089683587,1758.527568,5.06,10.01,4.93,14.88,10.08,6.72,1,,,0.932094716,,776714505.2
0.655161231,0.776923077,0.72153638,3.88E-07,534396.9511,555167.717,193756.8591,0.655161231,0.5,0.3,0.11,0.32,0.11,25,3751989175,0.062571041,1923.829024,5.5,3.3,11.2,5.28,15.36,5.28,2,,,1.106704312,,949367216.2
0.568411141,0.776923077,0.669264443,3.84E-07,516563.4502,518732.6794,192092.3863,0.568411141,0.36,0.57,0.31,0.21,0.14,5,3480175102,0.071866005,1859.628421,3.96,6.27,9.77,14.88,10.08,6.72,2,,,1.106704312,,949367216.2
0.568411141,0.776923077,0.669264443,3.84E-07,516563.4502,518732.6794,192092.3863,0.568411141,0.36,0.57,0.31,0.21,0.14,5,3480175102,0.071866005,1859.628421,3.96,6.27,9.77,14.88,10.08,6.72,2,,,0.412513472,,414155728.9
0.515408023,0.776923077,0.797501987,3.84E-07,505357.801,496471.3696,191940.9138,0,0.91,0.28,0.31,0.13,0.14,35,4147010333,0.079811914,1819.288084,10.01,3.08,6.91,14.88,6.24,6.72,2,,,1.320585378,,1144588236
0.504947544,0.776923077,0.61379551,3.84E-07,503116.8126,492077.9686,192019.4576,0.504947544,0.49,0.3,0.35,0.25,0.17,36,3191736653,0.081659791,1811.220525,5.39,3.3,11.31,16.8,12,8.16,2,,,1.016746875,,920573875
0.454799014,0.776923077,0.664533505,3.81E-07,492231.6203,471015.5859,190406.4991,0.454799014,0.36,0.98,0.31,0.21,0.14,37,3455574224,0.086822974,1772.033833,3.96,10.78,5.26,14.88,10.08,6.72,2,,,1.179517191,,1094090584
0.340850444,0.776923077,0.609189727,3.80E-07,466554.8733,423157.1863,189882.5054,0.340850444,0.91,0.28,0.35,0.25,0.17,13,3167786583,0.10698858,1679.597544,10.01,3.08,6.91,16.8,12,8.16,2,,,0.600601171,,579222494.9
0.4769959,0.776923077,0.752202023,3.88E-07,497079.0597,480338.2781,193816.5844,0.4769959,0.5,0.3,0.31,0.16,0.27,38,3911450518,0.089910982,1789.484615,5.5,3.3,11.2,14.88,7.68,12.96,2,,,1.350213131,,1234575825
0.330512317,0.776923077,0.572982914,3.76E-07,464155.0428,418815.173,187918.6319,0.330512317,0.52,0.79,0.44,0.25,0.13,39,2979511153,0.104861769,1670.958154,5.72,8.69,5.59,21.12,12,6.24,2,,,0.423265846,,391174911.2
0.598520435,0.776923077,0.811973995,3.86E-07,522822.0466,531378.5828,192983.1287,0,0.43,0.57,0.11,0.32,0.11,40,4222264773,0.069118192,1882.159368,4.73,6.27,9,5.28,15.36,5.28,2,,,1.835413061,,1582138800
0.437346443,0.776923077,0.497309753,3.79E-07,488386.477,463685.5062,189383.892,0.437346443,0.52,0.43,0.44,0.25,0.13,41,2586010718,0.087774643,1758.191317,5.72,4.73,9.55,21.12,12,6.24,2,,,1.681182554,,1502080528
0.323330303,0.776923077,0.505352627,3.76E-07,462480.523,415798.7271,187863.9225,0.323330303,0.46,0.91,0.44,0.25,0.13,42,2627833659,0.106209371,1664.929883,5.06,10.01,4.93,21.12,12,6.24,2,,,0.910136588,,783971405
0.589836488,0.776923077,0.712863057,3.85E-07,521024.6931,527731.3248,192567.7631,0.589836488,0.5,0.3,0.31,0.21,0.14,43,3706887896,0.069594312,1875.688895,5.5,3.3,11.2,14.88,10.08,6.72,2,,,0.932094716,,776714505.2
0.655161231,0.776923077,0.72153638,3.88E-07,534396.9511,555167.717,193756.8591,0.655161231,0.5,0.3,0.11,0.32,0.11,25,3751989175,0.062571041,1923.829024,5.5,3.3,11.2,5.28,15.36,5.28,2,,,1.532121404,,1380249568
0.330125145,0.776923077,0.536523825,3.77E-07,464064.9262,418652.5611,188592.3787,0.330125145,0.61,0.47,0.68,0.11,0.17,17,2789923891,0.106392227,1670.633734,6.71,5.17,8.12,32.64,5.28,8.16,2,,,1.516097317,,1373670818
0.313702726,0.776923077,0.536444159,3.76E-07,460226.251,411755.1449,188211.0397,0.313702726,0.91,0.28,0.44,0.25,0.13,44,2789509625,0.108953291,1656.814504,10.01,3.08,6.91,21.12,12,6.24,2,,,0.821232334,,754287754.5
0.480784507,0.776923077,0.708833511,3.81E-07,497901.7149,481929.4927,190618.2366,0.480784507,0.3,0.96,0.31,0.21,0.14,45,3685934260,0.082843101,1792.446174,3.3,10.56,6.14,14.88,10.08,6.72,2,,,1.534691438,,1330420659
0.46666445,0.776923077,0.563317679,3.79E-07,494828.7464,475999.0692,189426.0815,0.46666445,0.36,0.57,0.44,0.25,0.13,46,2929251933,0.082811393,1781.383487,3.96,6.27,9.77,21.12,12,6.24,2,,,0.603355677,,667617688.5
0.25017593,0.776923077,0.706287127,3.85E-07,445065.475,385073.8906,192549.4506,0.25017593,0.5,0.3,0.31,0.21,0.46,47,3672693063,0.132631739,1602.23571,5.5,3.3,11.2,14.88,10.08,22.08,2,,,0.941731392,,851233040
0.479347562,0.776923077,0.684446311,3.82E-07,497589.8578,481325.9759,190981.7083,0.479347562,0.52,0.55,0.36,0.21,0.14,48,3559120817,0.083813507,1791.323488,5.72,6.05,8.23,17.28,10.08,6.72,2,,,0.932094716,,776714505.2
0.655161231,0.776923077,0.72153638,3.88E-07,534396.9511,555167.717,193756.8591,0.655161231,0.5,0.3,0.11,0.32,0.11,25,3751989175,0.062571041,1923.829024,5.5,3.3,11.2,5.28,15.36,5.28,3,,,0.932094716,,776714505.2
0.655161231,0.776923077,0.72153638,3.88E-07,534396.9511,555167.717,193756.8591,0.655161231,0.5,0.3,0.11,0.32,0.11,25,3751989175,0.062571041,1923.829024,5.5,3.3,11.2,5.28,15.36,5.28,3,,,1.028589383,,869012702.4
0.615417906,0.776923077,0.694288781,3.86E-07,526301.7959,538475.5203,192835.262,0.615417906,0.5,0.3,0.17,0.32,0.11,49,3610301663,0.066396739,1894.686465,5.5,3.3,11.2,8.16,15.36,5.28,3,,,1.016746875,,920573875
0.454799014,0.776923077,0.664533505,3.81E-07,492231.6203,471015.5859,190406.4991,0.454799014,0.36,0.98,0.31,0.21,0.14,37,3455574224,0.086822974,1772.033833,3.96,10.78,5.26,14.88,10.08,6.72,3,,,0.802263332,,761269206.8
0.422477522,0.776923077,0.700965915,3.80E-07,485086.5177,457440.5593,190080.0039,0.422477522,0.5,0.91,0.31,0.21,0.14,50,3645022758,0.091847633,1746.311464,5.5,10.01,4.49,14.88,10.08,6.72,3,,,0.718588207,,618088746.6
0.62311005,0.776923077,0.757827446,3.87E-07,527878.2659,541706.2212,193327.9715,0.62311005,0.36,0.57,0.11,0.32,0.11,51,3940702717,0.066235899,1900.361757,3.96,6.27,9.77,5.28,15.36,5.28,3,,,0.932094716,,776714505.2
0.655161231,0.776923077,0.72153638,3.88E-07,534396.9511,555167.717,193756.8591,0.655161231,0.5,0.3,0.11,0.32,0.11,25,3751989175,0.062571041,1923.829024,5.5,3.3,11.2,5.28,15.36,5.28,3,,,1.534691438,,1330420659
0.46666445,0.776923077,0.563317679,3.79E-07,494828.7464,475999.0692,189426.0815,0.46666445,0.36,0.57,0.44,0.25,0.13,46,2929251933,0.082811393,1781.383487,3.96,6.27,9.77,21.12,12,6.24,3,,,1.320585378,,1144588236
0.504947544,0.776923077,0.61379551,3.84E-07,503116.8126,492077.9686,192019.4576,0.504947544,0.49,0.3,0.35,0.25,0.17,36,3191736653,0.081659791,1811.220525,5.39,3.3,11.31,16.8,12,8.16,3,,,0.830455311,,738096284.4
0.542810432,0.776923077,0.719394101,3.84E-07,511181.749,507980.3814,191909.7141,0.542810432,0.52,0.43,0.31,0.21,0.14,52,3740849326,0.075423642,1840.254297,5.72,4.73,9.55,14.88,10.08,6.72,3,,,1.413211224,,1221798857
0.496763482,0.776923077,0.593633528,3.81E-07,501356.5252,488640.6622,190586.4592,0.496763482,0.5,0.3,0.44,0.25,0.13,8,3086894347,0.080141575,1804.883491,5.5,3.3,11.2,21.12,12,6.24,3,,,2.21903852,,1959746589
0.25127428,0.776923077,0.383370229,3.70E-07,445331.9829,385535.1977,185021.611,0.25127428,0.5,0.3,0.11,0.82,0.11,53,1993525191,0.115468949,1603.195138,5.5,3.3,11.2,5.28,39.36,5.28,3,,,1.106704312,,949367216.2
0.568411141,0.776923077,0.669264443,3.84E-07,516563.4502,518732.6794,192092.3863,0.568411141,0.36,0.57,0.31,0.21,0.14,5,3480175102,0.071866005,1859.628421,3.96,6.27,9.77,14.88,10.08,6.72,3,,,1.016746875,,920573875
0.454799014,0.776923077,0.664533505,3.81E-07,492231.6203,471015.5859,190406.4991,0.454799014,0.36,0.98,0.31,0.21,0.14,37,3455574224,0.086822974,1772.033833,3.96,10.78,5.26,14.88,10.08,6.72,3,,,1.016746875,,920573875
0.454799014,0.776923077,0.664533505,3.81E-07,492231.6203,471015.5859,190406.4991,0.454799014,0.36,0.98,0.31,0.21,0.14,37,3455574224,0.086822974,1772.033833,3.96,10.78,5.26,14.88,10.08,6.72,3,,,0.995109899,,831090996.7
0.644728744,0.776923077,0.706846846,3.87E-07,532283.9177,550786.0726,193625.9536,0.644728744,0.3,0.57,0.11,0.32,0.11,54,3675603599,0.063764426,1916.222104,3.3,6.27,10.43,5.28,15.36,5.28,3,,,0.910136588,,783971405
