E_norm,J_crit_norm,J_norm,Lprime,P_left,P_right,acc_max,energy,f_armature,fitness,genom_0,genom_1,genom_2,genom_3,genom_4,id,j,mass,velocity,x1,x2,x3,x4,x5,x6,iteration_num
0.11956922,0.776923077,0.596135262,3.77E-07,101648642,145631554.8,412147.7624,330219.0725,188722.938,0,0.76,0.77,0.42,0.19,0.38,0,3099903365,0.157901159,1483.731945,8.36,8.47,3.17,20.16,9.12,18.24,0
0.386086951,0.776923077,0.550322517,3.82E-07,94056475.57,118824331.2,476913.7964,442156.5193,190757.3846,0,0.49,0.41,0.46,0.2,0.23,1,2861677091,0.099982945,1716.889667,5.39,4.51,10.1,22.08,9.6,11.04,0
0.206789108,0.776923077,0.88937382,3.87E-07,110344988.5,115844226.5,434407.1604,366851.4254,193317.8049,0,0.62,0.5,0.26,0.13,0.53,2,4624743865,0.145015236,1563.865777,6.82,5.5,7.68,12.48,6.24,25.44,0
0.282478082,0.776923077,0.835593161,3.85E-07,109524227.9,115473491.8,452837.8707,398640.7946,192553.2821,0,0.85,0.28,0.24,0.19,0.38,3,4345084439,0.125214618,1630.216335,9.35,3.08,7.57,11.52,9.12,18.24,0
0.418586104,0.776923077,0.556231268,3.79E-07,95891970.39,129017095.9,484219.1563,455806.1639,189264.2983,0,0.63,0.41,0.38,0.29,0.11,4,2892402594,0.090864954,1743.188963,6.93,4.51,8.56,18.24,13.92,5.28,0
0.354113657,0.776923077,0.761849287,3.85E-07,122971042.4,151953257.7,469615.7565,428727.7358,192447.4238,0,0.91,0.63,0.16,0.22,0.26,5,3961616291,0.10979763,1690.616723,10.01,6.93,3.06,7.68,10.56,12.48,0
0.413121051,0.776923077,0.652135546,3.84E-07,105490546.7,118734530.2,482998.4161,453510.8416,191887.3695,0,0.38,0.63,0.16,0.36,0.21,6,3391104842,0.097283641,1738.794298,4.18,6.93,8.89,7.68,17.28,10.08,0
0.42890264,0.776923077,0.77179517,3.84E-07,107508635.1,123615983.6,486515.2335,460139.1087,191912.3342,0,0.36,0.82,0.32,0.16,0.24,7,4013334883,0.094463156,1751.45484,3.96,9.02,7.02,15.36,7.68,11.52,0
0.208296832,0.776923077,0.606855816,3.80E-07,95536444.62,128175486.1,434781.9266,367484.6692,189860.0556,0,0.45,0.83,0.52,0.12,0.37,8,3155650245,0.136678813,1565.214936,4.95,9.13,5.92,24.96,5.76,17.76,0
0.236548468,0.776923077,0.896692042,3.86E-07,120521335.1,122051362.8,441745.4836,379350.3565,193066.0792,0,0.89,0.48,0.17,0.18,0.45,9,4662798620,0.137052752,1590.283741,9.79,5.28,4.93,8.16,8.64,21.6,0
0.424201984,0.776923077,0.598619923,3.80E-07,99394195.6,131257832.8,485470.389,458164.8333,190119.778,0,0.5,0.67,0.42,0.19,0.15,10,3112823600,0.09161972,1747.6934,5.5,7.37,7.13,20.16,9.12,7.2,0
0.449782713,0.776923077,0.679818513,3.83E-07,100324844.3,133293513.9,491129.5138,468908.7394,191742.7828,0,0.42,0.7,0.45,0.12,0.2,11,3535056270,0.090411852,1768.06625,4.62,7.7,7.68,21.6,5.76,9.6,0
0.159666349,0.776923077,0.618716699,3.79E-07,96641982.98,126524994,422526.6121,347059.8665,189577.5057,0,0.91,0.3,0.5,0.13,0.38,12,3217326834,0.148675895,1521.095804,10.01,3.3,6.69,24,6.24,18.24,0
0.23380262,0.776923077,0.438697805,3.73E-07,96532029.77,171110751.4,441073.5012,378197.1003,186255.7245,0,0.75,0.74,0.5,0.25,0.11,13,2281228584,0.122278201,1587.864604,8.25,8.14,3.61,24,12,5.28,0
0.643842073,0.776923077,0.769650631,3.90E-07,109224224.7,109059125.3,532103.9412,550413.6706,194935.3581,0,0.28,0.3,0.13,0.3,0.18,14,4002183280,0.06634827,1915.574188,3.08,3.3,13.62,6.24,14.4,8.64,0
0.28200098,0.776923077,0.551326669,3.82E-07,96042422.66,109234229.4,452724.0434,398440.4117,190802.7558,0,0.42,0.43,0.23,0.4,0.32,15,2866898678,0.121454876,1629.806556,4.62,4.73,10.65,11.04,19.2,15.36,0
0.189647938,0.776923077,0.492776067,3.71E-07,91399907.1,153274125.9,430123.5192,359652.1339,185469.6752,0,0.67,0.8,0.64,0.17,0.16,16,2562435547,0.131200962,1548.444669,7.37,8.8,3.83,30.72,8.16,7.68,0
0.668400676,0.776923077,0.877658269,3.90E-07,113210533.6,128062312.3,537066.5463,560728.2837,194946.685,0,0.35,0.48,0.27,0.13,0.17,17,4563822996,0.062984227,1933.439567,3.85,5.28,10.87,12.96,6.24,8.16,0
0.249215661,0.776923077,0.535677297,3.77E-07,95265803.68,130140792.3,444832.341,384670.5778,188722.1023,0,0.8,0.34,0.31,0.38,0.21,18,2785521942,0.124254455,1601.396428,8.8,3.74,7.46,14.88,18.24,10.08,0
0.374383997,0.776923077,0.510607251,3.77E-07,93973115.82,132559222.5,474255.5779,437241.2785,188657.5973,0,0.69,0.41,0.49,0.22,0.12,19,2655157707,0.097797319,1707.32008,7.59,4.51,7.9,23.52,10.56,5.76,0
